checkpoint,position,is_home,formation,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,scored_after,cumul_in_game_time,cumul_received_succ,cumul_received_unsucc,cumul_times_pressured,cumul_pressured_succ,cumul_pressured_unsucc,cumul_pressured_success_rate,cumul_pressures_applied,cumul_pressures_won,cumul_pressures_lost,cumul_pressure_success_rate
H1_30,A,True,4-3-3,2,21,298.74,6.515,7.35,2,0,2,2,0,29,10,0,11,3,8,0.2727272727272727,9,4,5,0.4444444444444444
H1_45,A,True,4-3-3,5,30,476.23,6.614,8.72,2,0,2,2,0,44,14,0,17,5,12,0.29411764705882354,17,6,11,0.35294117647058826
H2_15,A,True,4-3-3,7,41,646.5,6.608,8.72,2,0,2,2,0,59,22,0,24,8,16,0.3333333333333333,20,7,13,0.35
H2_30,A,True,4-3-3,7,48,716.74,6.539,8.72,2,0,2,2,0,74,26,0,29,10,19,0.3448275862068966,24,11,13,0.4583333333333333
H1_15,M,True,4-3-3,0,6,63.03,6.09,7.05,0,0,0,0,0,14,5,0,6,4,2,0.6666666666666666,5,4,1,0.8
H1_30,M,True,4-3-3,1,9,110.69,6.359,7.33,0,0,0,0,0,29,9,0,11,9,2,0.8181818181818182,9,5,4,0.5555555555555556
H1_45,M,True,4-3-3,1,18,253.53,6.204,7.33,0,0,0,0,0,44,11,1,18,15,3,0.8333333333333334,17,9,8,0.5294117647058824
H2_15,M,True,4-3-3,2,24,318.46,6.318,8.57,0,0,0,0,0,59,14,4,19,16,3,0.8421052631578947,20,10,10,0.5
H2_30,M,True,4-3-3,4,29,375.92,6.424,8.57,0,0,0,0,0,74,0,0,21,17,4,0.8095238095238095,0,0,0,0.0
H2_30,M,True,4-3-3,1,5,74.92,6.715,7.29,0,0,0,0,0,9,2,0,3,1,2,0.3333333333333333,1,1,0,1.0
H1_15,M,True,4-3-3,3,11,141.63,6.559,8.27,0,0,0,0,0,14,1,0,2,0,2,0.0,8,4,4,0.5
H1_30,M,True,4-3-3,6,22,337.63,6.672,8.44,0,0,0,0,0,29,5,0,4,2,2,0.5,13,8,5,0.6153846153846154
