iter	PRAUC:type=Classic;use_weights=false	Logloss	BrierScore:use_weights=false	Logloss:use_weights=true	Logloss:use_weights=false
255	0.1046139913	0.5317853563	0.1256091706	0.5317853563	0.4344428373
256	0.1046139913	0.5315001452	0.1253516238	0.5315001452	0.4338554309
257	0.1048452091	0.5312063373	0.1251014979	0.5312063373	0.4332824385
258	0.1048881589	0.5309245297	0.1249049052	0.5309245297	0.4328272287
259	0.1048268135	0.5306554383	0.1246589516	0.5306554383	0.432264868
260	0.1048127828	0.5303818452	0.124409968	0.5303818452	0.4316952329
261	0.1048127828	0.5301055019	0.1241591579	0.5301055019	0.4311211332
262	0.1048570171	0.5298375204	0.1239253631	0.5298375204	0.4305822382
263	0.1048570171	0.5295647988	0.1236772984	0.5295647988	0.4300135834
264	0.1048497614	0.5292983457	0.1234337793	0.5292983457	0.4294546831
265	0.1048493535	0.5290102058	0.1232024466	0.5290102058	0.4289182152
266	0.1048388282	0.5287420196	0.1229887026	0.5287420196	0.4284213578
267	0.1047852006	0.5285377349	0.122827806	0.5285377349	0.4280468387
268	0.1049562112	0.5282894904	0.1226423889	0.5282894904	0.4276140231
269	0.1049562952	0.5280261159	0.122426188	0.5280261159	0.427111345
270	0.1051154303	0.5277659339	0.1222377238	0.5277659339	0.4266712051
271	0.1051806695	0.5274858904	0.1220091434	0.5274858904	0.426138903
272	0.1051377001	0.5272296813	0.1217970401	0.5272296813	0.4256451285
273	0.104923294	0.5269813303	0.1215719012	0.5269813303	0.4251244156
274	0.104923294	0.5267256148	0.1213368749	0.5267256148	0.4245816347
275	0.104923294	0.5264716385	0.1211031714	0.5264716385	0.4240415019
276	0.1047073498	0.526256873	0.12091644	0.526256873	0.4236061579
277	0.104461817	0.5260264905	0.1207027966	0.5260264905	0.4231106964
278	0.1044875681	0.5257575756	0.1204944421	0.5257575756	0.4226205668
279	0.1045254508	0.5255354678	0.1203023536	0.5255354678	0.4221733528
280	0.1043909194	0.5253224217	0.1201181751	0.5253224217	0.4217433902
281	0.1043816729	0.5250815999	0.1198943025	0.5250815999	0.4212237583
282	0.1043367087	0.5248347861	0.1196801058	0.5248347861	0.4207222312
283	0.10443806	0.5245625666	0.1194611496	0.5245625666	0.4202072925
284	0.1045212304	0.5243400505	0.1192547123	0.5243400505	0.4197260365
285	0.1046266957	0.5241289838	0.1190882191	0.5241289838	0.4193333521
286	0.1047197468	0.5238857364	0.1188957413	0.5238857364	0.4188813243
287	0.1047197468	0.5236493528	0.1186755517	0.5236493528	0.4183682796
288	0.1047197468	0.523414574	0.1184565903	0.523414574	0.4178577153
289	0.1044949098	0.5231651435	0.1182769044	0.5231651435	0.4174309686
