feature,missing_rate,corr_with_target,univariate_auc,mean_positive,mean_negative
minute_out,0.0,0.0005066297055906623,0.5416515486782193,83.36075949367088,83.33589018974565
cumul_run_detail_unique_possessions,0.0,0.06373253169244548,0.5415059049585299,1.9620253164556962,1.8413403310456198
cumul_under_pressure_backward_share_per15,0.0,0.023264243440214504,0.5412299484370129,0.14627828614897226,0.12204021469003391
last15_under_pressure_backward_share,0.0,0.03387338334017331,0.5404455164730713,0.24454971891680755,0.20442319616338234
last15_applied_pressure_top_share,0.0,-0.04723404609703524,0.5391896587848715,0.20881714979816246,0.2794880788343243
cumul_under_pressure_lateral_count,0.0,-0.03599293960024446,0.5378494810484303,0.5253164556962026,0.6935809446911586
last15_shots,0.0,0.045823399218489554,0.5370522733196037,0.24050632911392406,0.1590633831247477
last15_shot_context_count,0.0,0.04556364628613752,0.536855526540374,0.24050632911392406,0.15946709729511505
last15_shot_context_unique_possessions,0.0,0.04939417216251363,0.5367430998093856,0.21518987341772153,0.14170367379895035
cumul_run_detail_top_count,0.0,0.019287702836840573,0.5367034949382419,7.151898734177215,6.612434396447315
cumul_run_detail_top_sprint_count,0.0,0.007882300977888675,0.5361669128130702,1.3544303797468353,1.2947113443681872
last15_shots_top_third,0.0,0.045715016159358926,0.5358334653495704,0.23417721518987342,0.1542188130803391
cumul_applied_pressure_top_count_per15,0.0,-0.0368662854325874,0.5357529780307947,0.8048523206751055,0.9839066483877694
trend_pass_vs_cumul_rate,0.0,0.03556469627121067,0.5350771400683758,-0.013950079456408597,-0.42025281360799704
last15_mean_max_speed,0.0,0.06422596397434008,0.5347820198995313,6.66676582278481,6.191842551473557
trend_applied_pressure_turnovers,0.0,0.027362012989077235,0.5336654180485787,-0.016795470807012138,-0.04912641116071171
cumul_run_detail_sprint_share,0.0,0.01923723047948758,0.5327327872119704,0.18214604089391911,0.1727251887624929
last15_pass_top_count,0.0,0.02633610527408189,0.5325743677273959,1.7215189873417722,1.4759790068631409
cumul_under_pressure_turnover_count,0.0,0.046270987244997085,0.532478549490758,3.8354430379746836,3.228502220427937
last15_run_detail_sprint_share,0.0,0.02216565260007406,0.5324606634199189,0.17373801066559813,0.16071370535453722
cumul_under_pressure_top_count,0.0,0.028641402779814414,0.5321451020272584,2.962025316455696,2.5373435607589827
cumul_shot_context_unique_possessions_per15,0.0,0.048916776013759704,0.5317107260211669,0.16616526932982628,0.11265792015978564
cumul_shot_context_regular_count_per15,0.0,0.04666461315871396,0.5315625271485004,0.16532138747328623,0.10817445653808615
cumul_under_pressure_lateral_count_per15,0.0,-0.014162276075830493,0.5309927280346274,0.23150172612197928,0.2592196274321829
cumul_shot_context_right_foot_count_per15,0.0,0.05640943175241011,0.5302811179305305,0.13588004822182037,0.07624195200619667
last15_shot_context_regular_count,0.0,0.04129626185909497,0.5302734524715994,0.17088607594936708,0.10900282599919257
cumul_shots_per15,0.0,0.05008013044783059,0.5294992411195658,0.21981204449558878,0.1494041559551683
cumul_shot_context_count_per15,0.0,0.04990171125662875,0.5294724120133072,0.21981204449558878,0.14958582733183362
cumul_shot_context_right_foot_count,0.0,0.03883014394050873,0.5288578977223366,0.2848101265822785,0.2010496568429552
trend_shots_vs_cumul_rate,0.0,0.00874538857306366,0.5287518588737908,0.020694284618335255,0.009659227169579381
last15_shots_under_press,0.0,0.04081303131190216,0.5285896066597507,0.189873417721519,0.12555510698425515
last15_shot_context_right_foot_count,0.0,0.05081034964952029,0.5284388526341073,0.14556962025316456,0.08155026241421073
last15_shot_context_under_pressure_count,0.0,0.040516191836370515,0.5283915823040325,0.189873417721519,0.12595882115462254
cumul_hsr,0.0,-0.0283129424544243,0.5280389711932054,16.563291139240505,18.075090835688332
cumul_run_detail_mean_hsr_speed,0.0,0.03759299751376848,0.5254595442629151,6.3902850006398975,6.180433456172139
cumul_shot_context_regular_count,0.0,0.012194355938083585,0.5253611708733001,0.31645569620253167,0.2842147759386354
last15_under_pressure_accurate_count,0.0,0.009321933709732116,0.5249855633856798,1.7151898734177216,1.6443278159063384
cumul_under_pressure_backward_count_per15,0.0,0.015008712583516028,0.5247670978061456,0.9552591922845086,0.8940903278883284
cumul_run_detail_count,0.0,-0.028416199407898676,0.5243659387887553,20.39873417721519,22.28502220427937
cumul_pass_unique_receivers_per15,0.0,-0.017606882159770958,0.5243007823878416,3.2910269055838675,3.4393401861153006
last15_run_detail_mean_hsr_speed,0.0,0.06431649801100206,0.5241449180562441,6.406405556381031,5.942985895908835
cumul_pass_top_count,0.0,-0.020641705502535943,0.5238727942641926,3.5,3.9907145740815504
cumul_shot_context_under_pressure_count_per15,0.0,0.0507898824870111,0.5224035813024126,0.18436900652090524,0.11995865837998285
last15_under_pressure_carry_count,0.0,0.015812388815747373,0.5223064854892863,0.24050632911392406,0.20831651190956801
cumul_under_pressure_accurate_count_per15,0.0,-0.011834757591871465,0.5221531763106657,1.7945284673132775,1.8725029338659098
cumul_shots_top_third,0.0,0.014048831583124576,0.522113571439522,0.43670886075949367,0.3928138877674606
cumul_shots,0.0,0.01701343946520238,0.5217737360935799,0.45569620253164556,0.4012918853451756
cumul_shot_context_count,0.0,0.016693038941897775,0.5217609603286948,0.45569620253164556,0.4020993136859104
cumul_shot_context_unique_possessions,0.0,0.02290722176233168,0.5217073021161777,0.3227848101265823,0.2793702058942269
cumul_pass_accuracy,0.0,0.009199318826927278,0.5212882570279482,0.8166766491950638,0.8089695204935187
cumul_run_detail_sprint_distance,0.0,-0.024868868968534085,0.5199340259501336,217.89727845023415,310.96242849371
cumul_under_pressure_carry_count_per15,0.0,0.015587496413701642,0.5196925639938064,0.23244424352019288,0.20359494008056137
last15_pass_middle_count,0.0,-0.014994411068891439,0.519329732271071,3.2341772151898733,3.46225272507065
trend_top_pass_share,0.0,0.01613548484923217,0.5192632982936688,0.013374102912255527,0.0026072164313934725
last15_under_pressure_mean_abs_angle,0.0,0.01151808082819278,0.5192581879877148,29.519738431184752,28.238384146233592
last15_applied_pressure_top_count,0.0,-0.024254377880308008,0.5192339140344332,0.8037974683544303,0.9454985870004037
cumul_pass_top_count_per15,0.0,0.02062251459537058,0.5191891988573356,1.6166954353663214,1.4508195781324043
cumul_under_pressure_count,0.0,-0.012475373891342643,0.5186590046146062,8.10759493670886,8.473556721840936
last15_under_pressure_forward_share,0.0,-0.0267910226744947,0.5184635354118652,0.1281191031191031,0.1573171917875544
cumul_shot_context_set_piece_count_per15,0.0,0.013763036998342613,0.5177532028842566,0.03723628691983122,0.03015895501112438
cumul_shot_context_set_piece_count,0.0,0.024355825723363114,0.5177199858955555,0.12025316455696203,0.08760597496972143
cumul_under_pressure_backward_count,0.0,-0.019683402841792725,0.5174031469264064,2.1645569620253164,2.3811061768268065
cumul_under_pressure_mean_abs_angle_per15,0.0,0.0017586106540391686,0.5166468216452119,17.890458588820096,17.71524151973663
cumul_shots_under_press,0.0,0.015266876201328645,0.5142615863411742,0.36075949367088606,0.31853048041986276
cumul_shot_context_under_pressure_count,0.0,0.014891893900705616,0.5142488105762892,0.36075949367088606,0.3193379087605975
last15_under_pressure_forward_count,0.0,-0.0188429727448942,0.5128089818737448,0.46835443037974683,0.5353249899071457
last15_pass_accuracy,0.0,0.0006203090775096669,0.5127118860606185,0.7982650658888559,0.7975844563708409
last15_under_pressure_lateral_count,0.0,-0.00793533849003051,0.5118559098133206,0.2088607594936709,0.2272910779168349
trend_turnover_under_pressure,0.0,0.004741273294995309,0.5117140988230965,-0.035810115593570724,-0.04109686600754947
cumul_pass_no_target_count,0.0,-0.03180555740814034,0.5116003945156196,0.006329113924050633,0.04319741622930965
cumul_pass_no_target_count_per15,0.0,-0.01971811720547518,0.5115007435495162,0.006329113924050633,0.016188938231731936
cumul_pass_no_target_rate_per15,0.0,0.0001587891802077445,0.5114854126316541,0.0012658227848101266,0.0012568982462834648
cumul_pass_no_target_rate,0.0,-0.016379832408792015,0.5114854126316541,0.0012658227848101266,0.0024970204957800823
cumul_peak_speed,0.0,0.03715643467271959,0.5110152644838847,8.313670886075949,8.0253855470327
last15_shot_context_left_foot_count,0.0,0.01542629320285832,0.5109743820362526,0.0759493670886076,0.05894226887363747
last15_shots_on_target,0.0,0.017135830182205974,0.510818517704655,0.0759493670886076,0.05773112636253532
last15_shot_context_blocked_count,0.0,0.026364751611301248,0.5099318796216329,0.06962025316455696,0.04521598708114655
last15_shot_context_blocked_share,0.0,0.020280981905749618,0.5097709049840813,0.056962025316455694,0.040304131341676756
cumul_shot_context_blocked_share,0.0,-0.01688887586959198,0.5087105164986228,0.06223628691983121,0.0798748486071861
trend_hsr_vs_cumul_rate,0.0,-0.022592124473139397,0.5083195780931404,-0.6000931557893582,-0.3927113151972414
cumul_shot_context_blocked_share_per15,0.0,-0.006957111648053265,0.5082659198806232,0.02984729756881655,0.033997160755229724
cumul_shot_context_blocked_count,0.0,-0.007627188871585562,0.5077702202030836,0.10759493670886076,0.11949939442874445
cumul_shot_context_blocked_count_per15,0.0,0.0017134502536962448,0.5076424625542331,0.04742314647377938,0.04618743407680576
